title,description,url,publishedAt
"Analyst Sounds The Alarm As Solana (SOL) Retests $210, Rebound Or Retrace Next?","Solana (SOL) has seen its rally slow down in the last few days, dropping 23% from its new all-time high (ATH) and over 8% in the past day. Some investors worry about the Altcoin’s short-term performance as the crypto market pulls back. Related Reading: Bitcoi…",http://www.newsbtc.com/news/analyst-sounds-the-alarm-as-solana-sol-retests-210-rebound-or-retrace-next/,2024-12-11T08:00:40Z
"Crypto Price Today: Bitcoin Price Hovers Over $97,000 Amid Volatile Altcoin Market","The overall crypto market cap rose by 0.50 percent in the last 24 hours. While BTC held on to minor profits, Ether registered losses on both national and international exchanges on Wednesday, December 11.",https://www.gadgets360.com/cryptocurrency/news/bitcoin-price-today-usd-97000-ether-profits-losses-dogecoin-solana-cardano-shiba-inu-7222284,2024-12-11T07:17:26Z
"Racial Bias in Web3, Blockchain Boom in Indian Entreprises: Interview With Polygon’s Sandeep Nailwal","Along the sidelines of the recently concluded India Blockchain Week 2024, Polygon co-founder Sandeep Nailwal discussed a variety of topics with Gadgets360. In our chat, Nailwal gave us his take on the racial bias allegedly prevalent in the global Web3 arena w…",https://www.gadgets360.com/cryptocurrency/features/polygon-sandeep-nailwal-racial-bias-web3-blockchain-india-7222215,2024-12-11T07:07:24Z
Bitcoin price today: steadies at $97k with eyes on CPI data,Bitcoin price today: steadies at $97k with eyes on CPI data,https://www.investing.com/news/cryptocurrency-news/bitcoin-price-today-steadies-at-97k-with-eyes-on-cpi-data-3765328,2024-12-11T06:25:21Z
Crypto investment inflows hit $41B YTD – Will the market gain more?,What’s driving the altcoin frenzy?,https://ambcrypto.com/crypto-investment-inflows-hit-41b-ytd-will-the-market-gain-more/,2024-12-10T23:00:04Z
"Ripple’s XRP, Dogecoin, Cardano Post Double-Digit Losses As Altcoin Catastrophe Leads To Largest Liquidation Since 2021","The crypto market is having a rough week, with nearly all of the top 100 cryptocurrencies barring stablecoins registering losses.",https://zycrypto.com/ripples-xrp-dogecoin-cardano-post-double-digit-losses-as-altcoin-catastrophe-leads-to-largest-liquidation-since-2021/,2024-12-10T20:32:41Z
"XRP, APT, ADA Tumble Another 15%; Investors May Be Paring Longs Ahead of CPI Data",The crypto sector is down again on Tuesday despite $1.5 billion in bullish liquidations on Monday.,https://www.coindesk.com/markets/2024/12/10/xrp-apt-ada-tumble-another-15-investors-may-be-paring-longs-ahead-of-cpi-data,2024-12-10T17:20:26Z
Best Crypto To Buy and Hold Now | These Top 10 Coins Could Deliver Massive 100x Returns by Q1 2025 [Expert Recomendations],"The cryptocurrency market continues to expand with innovative projects offering transformative solutions in decentralised finance, blockchain interoperability, and digital payments. This week, the spotlight is on Solana, Cardano, Avalanche, Polkadot, Near Pro…",https://punchng.com/best-crypto-to-buy-and-hold-now-these-top-10-coins-could-deliver-massive-100x-returns-by-q1-2025-expert-recomendations/,2024-12-10T16:39:53Z
"Dogecoin, Shiba Inu and Bonk Are Still Down Bad as Bitcoin Recovers","Meme coins took a hard hit as Bitcoin plunged on Monday and liquidations surged, with Dogecoin and others still showing red.",https://decrypt.co/295814/dogecoin-shiba-inu-down-bad-bitcoin-recovers,2024-12-10T15:26:42Z
"Altcoins XRP, Tron and Cardano Cool Off as Market Reacts to Bitcoin Plunge","The crypto market experienced a sharp downturn on Monday, with recent top-performing assets such as XRP (XRP), Tron (TRX), and Cardano (ADA) taking substantial hits.
This follows weeks of explosive rallies that had stunned market observers, propelling these ""…",https://biztoc.com/x/ee54705203048a8f,2024-12-10T15:02:18Z
Cardano Follows 2020 Bullish Pattern – Top Analyst Plans To Take Profits Between $4 And $6,"Cardano (ADA) faced a 23% retrace from its local highs yesterday, following a volatile day that saw many altcoins lose ground. Despite the correction, ADA has been one of the top-performing altcoins since November 5, showcasing its resilience amid market fluc…",http://www.newsbtc.com/news/cardano/cardano-follows-2020-bullish-pattern-top-analyst-plans-to-take-profits-between-4-and-6/,2024-12-10T14:00:18Z
"Crypto Market Hit Hard With $1.7 Billion Liquidated, Largest Event Since 2021","The broader crypto market experienced a major crash on December 9. While the Bitcoin price dropped from $101,109 to as low as $94,150, marking a -7% decline, the altcoin market suffered significantly more severe losses. Ethereum fell by as much as -12% at one…",http://www.newsbtc.com/news/crypto-market-1-7-billion-wipeout-biggest-since-2021/,2024-12-10T11:00:55Z
"Altcoins XRP, Tron and Cardano Cool Off as Market Reacts to Bitcoin Plunge","“Historically, these dips have been followed by swift recoveries as fresh capital flows back into oversold assets,"" a CoinSwitch analyst told Decrypt.",https://decrypt.co/295769/altcoins-xrp-tron-and-cardano-cool-off-as-market-reacts-to-bitcoin-plunge,2024-12-10T10:33:10Z
$PEAQ Defies Crypto Crash – Decacorn In The Making?,"$PEAQ, which only recently went live, is making significant moves even as other altcoins are bleeding out – what makes this cryptocurrency special and what are crypto users saying about it?",https://www.ibtimes.com/peaq-defies-crypto-crash-decacorn-making-3754771,2024-12-10T10:09:14Z
"Crypto Bloodbath: Altcoins, Memecoins Lead $1.76 Billion In Overnight Liquidations","Liquidations across the crypto market hit $1.78 billion overnight, with altcoins Ethereum and many memecoins leading the way as crypto prices dip.",https://www.ibtimes.com/crypto-bloodbath-altcoins-memecoins-lead-176-billion-overnight-liquidations-3754740,2024-12-10T06:44:38Z
Bitcoin price today: slides to $96k amid broader crypto rout,Bitcoin price today: slides to $96k amid broader crypto rout,https://www.investing.com/news/cryptocurrency-news/bitcoin-price-today-slides-to-96k-amid-broader-crypto-rout-3762834,2024-12-10T06:13:34Z
"Crypto crash wipes out $1.7 billion in leveraged positions, Bitcoin plunges toward $94,000","The crypto market's volatility highlights the risks of leveraged trading and raises concerns about the potential impact of quantum computing on digital asset security.
The post Crypto crash wipes out $1.7 billion in leveraged positions, Bitcoin plunges toward…",https://cryptobriefing.com/crypto-market-crash-leveraged-liquidations/,2024-12-10T02:26:09Z
"Bitcoin sees another flash crash, leading to $1.52 billion cascade in crypto liquidations","The crypto market experienced a cascade of liquidations over the past 24 hours, totaling $1.52 billion, as Bitcoin (BTC) underwent yet another flash crash. According to Coinglass data, longs made up the vast majority of the amount, with $1.39 billion liquidat…",https://cryptoslate.com/bitcoin-sees-another-flash-crash-leading-to-1-52-billion-cascade-in-crypto-liquidations/,2024-12-09T22:15:51Z
Crypto Crumbles in Broad Selloff Led 20% Declines Across Numerous Altcoins,"Bitcoin was an outperformer, but still lower by 5% over the past 24 hours to just above $95,000.",https://www.coindesk.com/markets/2024/12/09/crypto-crumbles-in-broad-selloff-led-20-declines-across-numerous-altcoins,2024-12-09T21:15:58Z
Can Crypto Wallets Be Sustainable?,"With the massive growth in cryptocurrency adoption, the environmental impact of blockchain technology has become a pressing issue. Many popular blockchain networks, particularly those that use proof-of-work (PoW) mechanisms like Bitcoin, consume significant a…",https://dailycaller.com/2024/12/09/can-crypto-wallets-be-sustainable/,2024-12-09T19:45:18Z
